year,spen.ch,spen.so,spen.co,spen.pi,spen.cm,ch.ch,ch.so,ch.co,ch.pi,ch.cm,kod.ch,kod.so,kod.co,kod.pi,kod.cm,ci.ch,ci.so,ci.co,ci.pi,ci.cm,pws.ch,pws.so,pws.co,pws.pi,pws.cm,se.ch,se.so,se.co,se.pi,se.cm
1953,3.681241237,5.740441645,4.693726949,6.308201461,6.209166367,2.755874856,5.54722811,2.290034611,5.541832509,5.426283482,3.050379756,5.216118378,4.822364252,6.926302875,5.848218069,4.814979684,6.026993871,5.527223768,6.390944111,5.939653514,4.091350352,5.834897339,5.398531983,4.089410511,5.705228905,5.378666753,5.873512416,6.24817123,6.949852406,6.431566548
1954,3.763427994,5.807128956,4.651278014,6.402983173,6.10768472,2.972665592,5.826165541,2.222716471,5.915155443,5.334835602,3.012837225,5.433368146,4.538850106,7.033189012,6.082236592,4.631108787,6.112301627,5.2563617,6.10924367,6.082038172,3.963315511,5.868261103,5.359653382,4.432520341,5.849350609,5.477187841,5.961315711,6.126610913,6.970066494,6.533142778
1955,2.903089987,5.533899101,4.791690649,6.4378615,5.924795996,2.7084209,5.483997864,3.714245911,5.248718533,5.276638703,3.288249226,5.369685161,4.722995684,6.520986447,5.968808781,4.358829182,5.82648233,5.317089257,6.256066779,5.775376674,4.280532844,5.8043078,5.295747377,6.65577068,5.837239853,5.512089101,6.029893673,5.962152371,7.137615844,6.445140864
1956,2.954242509,5.269746373,4.698100546,5.960518343,5.852296966,2.838849091,5.505327731,3.727053011,5.484455019,5.27202504,3.264109156,5.459413599,4.544005998,6.673618181,5.865568238,4.515648694,5.696218301,5.104483697,5.486913389,5.614007689,4.055263626,5.537957544,5.029712418,5.813493587,1.826074803,5.561983394,6.00356177,6.085818049,6.836190831,6.111063809
1957,3.230448921,5.337459261,4.848804701,6.141512483,5.956360554,2.630427875,5.631466092,2.605305046,5.116992727,5.182388971,3.092720645,5.518628421,4.312917481,6.606267187,6.114072285,4.439948166,5.802303612,5.383026819,6.414691633,5.889905932,4.01389006,5.514768164,5.098183233,6.799259749,5.582265683,5.491346283,5.949701221,5.980162053,6.992902713,6.008238961
1958,2.954242509,5.57863921,3.929418926,5.961705784,5.874249823,2.632457292,5.851471773,3.682506086,4.826346962,5.262854345,2.936513742,5.559337961,4.16172727,6.293817166,5.715112963,4.296182373,5.976826662,5.051785166,5.137528174,5.607691944,3.949341207,5.632186913,5.283170016,3.070037867,5.351231821,5.360854593,5.76958999,6.01046533,6.894941462,6.408115936
1959,3.51851394,5.659726095,3.255272505,6.078275522,5.916348652,2.638489257,5.50981924,3.884512159,5.297471615,5.561640338,3.039414119,5.610637809,4.734863809,6.828519211,5.900217968,4.306853749,6.073747302,5.497141211,6.306049978,6.06063779,4.227063592,5.817506534,5.377932466,6.265383925,5.950557128,5.312940722,5.871855369,5.857819598,6.474947391,6.300243863
1960,3.278753601,5.62324929,4.017033339,6.23749347,5.663983455,3.241546481,5.561998873,3.490660653,5.64860978,5.051912355,2.456366033,5.894683728,4.456047028,6.59395284,5.48438669,4.246301577,6.069245805,5.076993415,5.528137355,5.720603298,4.122510771,5.905431028,5.291941315,6.361706498,5.974504784,5.412430305,5.887750044,5.949106403,7.101661272,6.169892995
1961,3.301029996,5.310480891,4.096910013,6.293473048,5.875639937,3.040206628,5.61130474,3.111598525,6.18137647,5.523427781,3.115943177,5.60963709,4.737057402,7.149645528,6.054675475,3.664829941,5.981411293,5.553944891,6.695484303,6.146877787,4.109173421,5.66130145,5.418364276,6.828930183,5.731676582,5.552900508,5.831179087,6.087266275,7.063902636,6.286939225
1962,3.322219295,5.569139725,4.217483944,6.374326674,5.745387121,3.201943063,5.746483181,3.997080435,6.220725864,5.081365313,2.895422546,5.697654708,4.755958659,6.73879308,5.634819734,3.989049156,5.995946108,5.309366104,5.369312357,5.537215699,4.217273326,5.892089592,5.531340943,6.724023824,5.304072404,5.458234334,5.965635779,6.105342566,7.282062153,6.168458295
1963,3.146128036,5.961753214,4.133538908,6.437813959,5.694078462,2.805500858,5.799745013,3.348304863,6.226189903,5.378239782,2.777426822,5.539373476,4.55065632,7.080783043,5.882391326,3.982406929,6.154226715,5.664749126,6.632191775,5.820127209,4.083072412,5.975441,5.546965648,6.624018344,5.630167424,5.488753716,6.035557006,6.200825884,7.269079882,6.514966837
