year,Chinook,Sockeye,Coho,Pink,Chum
1943,5.824003407,6.86421718,6.347771502,7.576151325,6.841035757
1944,5.794449704,6.739100376,6.540270897,7.679252753,6.773147401
1945,5.774830712,6.844411933,6.556950925,7.668415627,6.828710926
1946,5.782510605,6.686401276,6.392972915,7.537177842,6.728373426
1947,5.753622887,6.720206039,6.46659421,7.434522566,6.847445683
1948,5.837323236,6.850584302,6.466499426,7.755923463,6.789384248
1949,5.808173148,6.695101327,6.371046794,7.299765554,6.881703213
1950,5.785877697,6.721432606,6.597174708,7.45339753,6.824336614
1951,5.684876766,6.710928053,6.362897533,7.296977507,6.892853398
1952,5.652930613,6.66518028,6.190057586,7.192663807,6.520034202
1953,5.509594958,6.551736099,6.393374767,7.346402896,6.82408644
1954,5.55602736,6.656195021,6.261829343,7.394328257,6.904927557
1955,5.568591241,6.513227458,6.15883905,7.419873109,6.780420076
1956,5.615220708,6.422332404,6.188362549,7.138312047,6.523121361
1957,5.545576765,6.451437325,6.150398729,7.385429356,6.656518488
1958,5.415654322,6.533636717,6.132522877,7.038994614,6.666490181
1959,5.393626087,6.576883822,6.126286647,7.17563814,6.779783876
1960,5.467316505,6.635366713,6.09577868,7.329883021,6.582781742
1961,5.578723998,6.49339224,6.281263869,7.61158651,6.785087488
1962,5.502364293,6.61507817,6.279146574,7.533854602,6.495286043
1963,5.521782507,6.728289973,6.389827127,7.63893266,6.767665362
1964,5.514220913,6.741280134,6.28800137,7.30898798,6.479225661
1965,5.545925329,6.603911021,6.255585567,7.573634466,6.738900052
1966,5.545945098,6.706782964,6.119437028,6.814279434,6.343529707
1967,5.550190427,6.649479242,6.383465456,7.620673425,6.782063076
1968,5.57871025,6.825245611,5.939598117,7.405430888,6.796757309
1969,5.517330522,6.626795573,6.147925701,7.475936347,6.753436431
1970,5.572104523,6.6009127,6.146619131,7.370658194,6.599321509
1971,5.574442205,6.550413898,6.245659464,7.197096185,6.405420985
1972,5.516841982,6.509494195,6.069809386,6.988996776,6.301395735
1973,5.464079502,6.358761505,6.20306037,6.939495141,6.515418655
1974,5.511812532,6.740905455,5.91490246,7.112234889,6.614615888
1975,5.659422706,6.850680598,6.098705665,7.372641257,6.542280911
1976,5.610629293,6.863285676,6.135918443,7.455335518,6.497130014
1977,5.548760284,6.721206468,6.377037649,7.679263051,6.722449473
1978,5.507035062,6.908300753,6.395288467,7.693913647,6.88094409
1979,5.559609816,6.943671957,6.360335676,7.760126301,6.915044127
1980,5.589129362,7.086129273,6.4251702,7.774261818,6.810809289
1981,5.514507907,7.119522786,6.64533835,7.789811969,6.928418898
1982,5.509406848,7.070913298,6.498094594,7.77998793,6.855113686
1983,5.556958273,7.097458962,6.549117219,7.847553677,6.971011944
1984,5.589521795,7.140457131,6.689670088,7.955847217,6.867586328
1985,5.541401996,7.254801257,6.709922693,7.885163118,7.000989021
1986,5.544595082,7.157276636,6.439753045,7.667284545,6.615401632
1987,5.63701014,7.132637579,6.515198308,7.690548681,6.75069827
1988,5.626702642,7.220508867,6.543528315,7.985942542,6.837137245
1989,5.522363366,7.210303026,6.666125347,7.938991469,6.891369505
1990,5.632799329,7.354686396,6.706988428,8.108342479,7.039988832
1991,5.518142657,7.296910914,6.763450157,7.77387043,7.174737279
1992,5.54167408,7.152819694,6.715594497,8.039906037,7.209347377
1993,5.502044554,7.198362821,6.911803295,8.057309246,7.296081176
1994,5.600228842,7.270598467,6.750495358,8.10799689,7.187772482
1995,5.54046087,7.220386287,6.666568333,7.987924401,7.260904434
1996,5.490228249,7.059386408,6.448017549,7.85666176,7.300392461
1997,5.461842045,7.234351354,6.609689047,8.017569854,7.374032471
1998,5.522065854,7.03862644,6.654438003,8.164566958,7.152727799
1999,5.67339787,7.046553808,6.560226186,7.873070889,7.193722539
2000,5.703469359,7.003817902,6.669229641,8.10666278,7.227894722
2001,5.780853547,7.16427899,6.690827032,7.940836201,7.194215367
2002,5.728523408,7.205683096,6.570613449,8.094212589,6.99204625
2003,5.653110201,7.193231043,6.677047667,7.999342976,7.270483232
2004,5.64511265,7.025781935,6.635468164,8.207320846,7.163202357
2005,5.461159242,7.149292659,6.582976808,7.855100699,7.211522945
2006,5.483818289,6.966303026,6.499026343,8.155069019,7.202238022
2007,5.497887083,6.992096009,6.579201595,7.918507101,7.210934925
2008,5.610290643,6.987849729,6.572832351,7.975983784,7.170251063
2009,5.506182913,7.227518889,6.572674848,8.025903895,7.257818894
2010,5.478745371,7.145943421,6.499589493,8.059717287,7.268313243
2011,5.671657796,7.127438364,6.436027247,7.821387244,6.968475103
2012,5.656921909,7.110160422,6.730501831,8.348445363,7.203747307
2013,,7.195354921,6.735936544,7.973890087,
2014,,,6.524107925,8.281499656,
